Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,130,200,32.2,3.05,8.98,3.01,17.16,-3.2,4.87,5,12,-3.2,7.29,0.75,-0.66,0.16,115,82,33,13
NIFTY,130,210,31.38,2.51,9.15,2.95,16.77,-3.26,4.78,5,12,-3.26,7.73,0.75,-0.67,0.16,115,82,32,14
NIFTY,130,220,32.89,2.18,8.7,5.23,16.79,-3.26,4.54,5,12,-3.38,7.73,0.75,-0.67,0.17,116,81,32,14
NIFTY,130,230,32.03,1.57,8.68,5.61,16.17,-3.27,4.54,5,12,-3.45,8.87,0.74,-0.69,0.16,118,79,32,14
NIFTY,130,240,30.52,1.52,8.17,5.39,15.43,-3.4,4.46,5,12,-3.58,8.82,0.74,-0.7,0.15,117,80,32,14
NIFTY,130,250,29.86,1.31,8.01,5.91,14.63,-3.42,4.36,6,12,-3.58,9.38,0.75,-0.7,0.15,116,81,32,14
NIFTY,130,50,5.65,-3.88,-2.34,-5.18,17.05,-4.4,6.76,4,6,-7.74,10.91,1.13,-1.2,0.03,104,93,23,23
NIFTY,130,60,6.22,-5.57,-1.42,-6.79,20.0,-4.48,6.69,7,6,-5.78,10.52,1.1,-1.03,0.03,98,99,22,24
NIFTY,130,70,17.76,-4.51,3.07,-1.34,20.54,-4.48,6.5,9,8,-5.94,10.06,0.99,-0.94,0.09,105,92,22,24
NIFTY,130,80,17.99,-3.67,1.67,0.41,19.58,-3.4,6.42,9,8,-5.43,9.69,0.95,-0.87,0.09,104,93,22,24
NIFTY,130,90,18.56,-1.73,-0.3,1.99,18.6,-3.24,6.3,10,8,-5.12,8.81,0.86,-0.81,0.09,107,90,24,22
NIFTY,140,100,13.53,-3.02,-1.11,2.45,15.21,-3.48,6.11,6,8,-6.72,8.07,0.79,-0.84,0.07,110,87,24,22
NIFTY,140,110,13.91,-1.26,-1.09,0.4,15.85,-3.05,6.02,5,7,-7.28,7.59,0.79,-0.75,0.07,105,92,27,19
NIFTY,140,120,11.22,-1.12,-2.18,-1.24,15.76,-3.17,5.89,5,6,-4.86,7.49,0.77,-0.79,0.06,107,90,26,20
NIFTY,140,130,4.65,-2.89,-3.84,-1.85,13.22,-3.6,5.77,5,6,-5.01,7.2,0.76,-0.8,0.02,104,93,25,21
NIFTY,140,140,4.88,-2.55,-4.18,-2.88,14.49,-3.07,5.59,5,8,-5.26,6.89,0.7,-0.82,0.02,110,87,25,21
NIFTY,140,150,4.56,-0.38,-4.32,-2.18,11.44,-3.21,5.57,5,8,-5.24,6.85,0.67,-0.83,0.02,112,85,29,17
NIFTY,140,160,4.24,0.74,-5.66,-0.98,10.13,-3.31,5.36,5,5,-5.43,6.64,0.67,-0.8,0.02,110,87,31,15
NIFTY,140,170,15.36,0.18,0.47,-0.19,14.9,-3.21,5.32,5,8,-3.75,6.59,0.68,-0.74,0.08,114,83,31,15
NIFTY,140,180,21.57,0.23,5.51,0.61,15.22,-3.21,5.05,5,8,-3.31,6.32,0.68,-0.72,0.11,117,80,32,14
NIFTY,140,190,23.69,0.99,6.76,0.73,15.21,-3.21,4.99,5,8,-3.31,6.52,0.69,-0.71,0.12,117,80,33,13
NIFTY,140,200,30.0,1.64,8.42,3.46,16.49,-3.35,4.87,5,12,-3.35,6.55,0.71,-0.7,0.15,119,78,33,13
NIFTY,140,210,29.18,1.1,8.59,3.4,16.1,-3.41,4.78,5,12,-3.41,6.62,0.71,-0.71,0.15,119,78,32,14
NIFTY,140,220,30.69,0.77,8.14,5.67,16.12,-3.41,4.54,5,12,-3.42,6.62,0.71,-0.71,0.16,120,77,32,14
NIFTY,140,230,29.83,0.16,8.12,6.06,15.5,-3.42,4.54,5,12,-3.48,8.71,0.7,-0.74,0.15,122,75,32,14
NIFTY,140,240,28.32,0.11,7.61,5.84,14.76,-3.55,4.46,5,12,-3.61,8.66,0.7,-0.74,0.14,121,76,32,14
NIFTY,140,250,27.66,-0.1,7.45,6.36,13.96,-3.57,4.36,6,12,-3.61,9.22,0.71,-0.75,0.14,120,77,32,14
NIFTY,140,50,3.45,-5.29,-2.9,-4.74,16.38,-4.43,6.76,6,6,-8.97,10.91,1.15,-1.22,0.02,103,94,22,24
NIFTY,140,60,4.02,-6.98,-1.98,-6.35,19.32,-4.51,6.69,7,6,-5.81,10.52,1.08,-1.08,0.02,100,97,20,26
NIFTY,140,70,15.56,-5.92,2.51,-0.9,19.87,-4.51,6.5,9,8,-5.97,10.06,0.98,-0.97,0.08,106,91,22,24
NIFTY,140,80,15.79,-5.08,1.11,0.85,18.91,-3.41,6.42,9,8,-5.67,9.69,0.93,-0.89,0.08,105,92,22,24
NIFTY,140,90,16.36,-3.14,-0.86,2.43,17.93,-3.3,6.3,10,8,-4.63,8.81,0.82,-0.88,0.08,112,85,24,22
NIFTY,150,100,14.01,-3.3,-1.87,3.24,15.94,-3.74,6.11,6,8,-6.14,8.07,0.79,-0.84,0.07,110,87,24,22
NIFTY,150,110,14.39,-1.54,-1.85,1.19,16.59,-3.29,6.02,5,7,-6.7,7.59,0.78,-0.75,0.07,106,91,27,19
NIFTY,150,120,11.7,-1.4,-2.94,-0.46,16.49,-3.42,5.89,5,6,-4.83,7.49,0.76,-0.78,0.06,107,90,26,20
NIFTY,150,130,5.13,-3.17,-4.6,-1.06,13.96,-3.85,5.77,5,6,-4.99,7.2,0.75,-0.79,0.03,104,93,26,20
NIFTY,150,140,5.36,-2.83,-4.95,-2.09,15.23,-3.11,5.59,5,8,-5.23,6.89,0.69,-0.81,0.03,110,87,26,20
NIFTY,150,150,5.04,-0.65,-5.09,-1.39,12.17,-3.22,5.57,5,8,-5.48,6.85,0.67,-0.82,0.03,112,85,30,16
NIFTY,150,160,4.72,0.46,-6.42,-0.19,10.87,-3.33,5.36,5,5,-5.68,6.64,0.67,-0.78,0.02,109,88,32,14
NIFTY,150,170,15.84,-0.1,-0.29,0.59,15.64,-3.15,5.32,5,8,-3.77,6.59,0.67,-0.72,0.08,113,84,32,14
NIFTY,150,180,22.05,-0.05,4.75,1.39,15.96,-3.19,5.05,5,8,-3.3,6.32,0.67,-0.69,0.11,116,81,32,14
NIFTY,150,190,24.17,0.71,6.0,1.52,15.95,-3.13,4.99,5,8,-3.24,6.6,0.69,-0.67,0.12,115,82,31,15
