Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,140,200,8.38,6.4,1.99,-3.18,3.86,5,8,-4.16,7.77,1.25,-1.22,0.11,40,34,10,8
FINNIFTY,140,50,-11.23,-7.83,-3.39,-3.6,4.67,4,5,-8.4,8.05,1.54,-1.59,-0.15,34,40,8,10
FINNIFTY,140,60,-10.47,-4.94,-5.53,-3.47,4.57,4,5,-6.4,7.2,1.47,-1.51,-0.14,34,40,8,10
FINNIFTY,140,70,-11.57,-4.02,-7.54,-3.55,4.43,4,5,-5.85,5.87,1.28,-1.52,-0.16,36,38,7,11
FINNIFTY,140,80,-6.78,-1.13,-5.64,-3.55,4.34,4,5,-5.81,4.72,1.17,-1.43,-0.09,38,36,6,12
FINNIFTY,140,90,-5.53,-0.18,-5.36,-3.48,3.98,3,5,-5.58,5.55,1.11,-1.47,-0.07,40,34,7,11
FINNIFTY,150,100,-6.63,-2.87,-3.76,-3.37,3.95,3,5,-5.97,5.55,1.15,-1.55,-0.09,40,34,7,11
FINNIFTY,150,110,-1.17,0.15,-1.32,-3.37,3.94,3,7,-5.78,6.15,1.12,-1.43,-0.02,41,33,7,11
FINNIFTY,150,120,-1.26,-0.72,-0.54,-3.37,3.83,3,7,-5.84,6.27,1.04,-1.4,-0.02,42,32,7,11
FINNIFTY,150,130,-3.47,-1.85,-1.62,-3.37,3.58,4,7,-5.27,6.3,1.1,-1.25,-0.05,38,36,7,11
FINNIFTY,150,140,-1.45,0.31,-1.76,-3.37,3.48,4,7,-4.64,5.9,1.05,-1.21,-0.02,39,35,8,10
FINNIFTY,150,150,-3.0,-1.06,-1.93,-3.37,3.46,4,7,-4.8,6.01,1.01,-1.28,-0.04,40,34,8,10
FINNIFTY,150,160,1.62,0.34,1.27,-3.37,3.44,4,7,-4.33,6.08,1.14,-1.23,0.02,39,35,9,9
FINNIFTY,150,170,-0.93,-1.61,0.68,-3.37,3.44,4,7,-4.43,6.01,1.18,-1.2,-0.01,37,37,9,9
FINNIFTY,150,180,-0.02,-1.71,1.69,-3.37,3.44,5,6,-4.42,5.92,1.18,-1.24,-0.0,38,36,9,9
FINNIFTY,150,190,4.09,2.33,1.77,-3.37,3.68,5,6,-4.42,6.08,1.23,-1.25,0.06,39,35,10,8
FINNIFTY,150,200,4.94,3.96,0.98,-3.37,3.68,5,8,-4.4,7.39,1.22,-1.29,0.07,40,34,10,8
FINNIFTY,150,50,-14.67,-10.27,-4.4,-3.83,4.67,4,5,-8.32,8.05,1.53,-1.75,-0.2,35,39,8,10
FINNIFTY,150,60,-13.91,-7.37,-6.54,-3.66,4.57,4,5,-6.32,7.2,1.5,-1.62,-0.19,34,40,8,10
FINNIFTY,150,70,-15.01,-6.46,-8.56,-3.74,4.43,4,5,-6.1,5.87,1.31,-1.64,-0.2,36,38,6,12
FINNIFTY,150,80,-10.22,-3.57,-6.65,-3.73,4.34,4,5,-6.09,5.11,1.23,-1.51,-0.14,37,37,6,12
FINNIFTY,150,90,-8.98,-2.61,-6.37,-3.67,3.98,3,5,-6.06,5.53,1.2,-1.51,-0.12,38,36,7,11
FINNIFTY,160,100,-5.29,-1.25,-4.04,-3.41,4.11,4,5,-6.01,5.72,1.22,-1.51,-0.07,39,35,7,11
FINNIFTY,160,110,0.17,1.77,-1.6,-3.41,4.11,4,5,-4.39,5.77,1.22,-1.35,0.0,39,35,7,11
FINNIFTY,160,120,0.08,0.9,-0.82,-3.41,4.0,4,7,-4.5,6.12,1.1,-1.36,0.0,41,33,8,10
FINNIFTY,160,130,-2.13,-0.22,-1.9,-3.41,3.75,4,7,-4.53,6.15,1.14,-1.26,-0.03,38,36,8,10
FINNIFTY,160,140,-0.11,1.93,-2.04,-3.41,3.65,4,7,-4.68,5.76,1.09,-1.22,-0.0,39,35,9,9
