Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,50,100,-13.28,2.01,4.19,-24.42,4.95,-8.21,2.4,4,8,-8.21,7.23,0.79,-1.33,-0.07,106,73,18,24
NIFTY,50,110,-13.2,4.05,3.75,-24.86,3.87,-8.38,2.4,4,8,-8.38,7.23,0.82,-1.24,-0.07,101,78,20,22
NIFTY,50,120,-10.47,7.18,2.07,-22.02,2.29,-8.63,2.4,4,11,-8.63,9.89,0.8,-1.33,-0.06,107,72,21,21
NIFTY,50,130,-8.1,8.29,2.55,-19.76,0.82,-8.78,2.4,4,11,-8.78,10.25,0.8,-1.37,-0.05,109,70,22,20
NIFTY,50,140,-6.49,7.51,2.23,-19.42,3.17,-8.78,2.4,4,8,-8.78,7.23,0.81,-1.43,-0.04,111,68,22,20
NIFTY,50,150,-1.42,7.07,6.87,-19.41,4.06,-7.96,2.4,4,8,-8.19,7.23,0.82,-1.36,-0.01,111,68,23,19
NIFTY,50,160,-1.49,7.42,6.39,-19.47,4.17,-7.76,2.4,3,8,-8.65,7.23,0.82,-1.45,-0.01,114,65,22,20
NIFTY,50,170,3.9,6.66,10.48,-17.79,4.55,-7.76,2.4,3,12,-7.76,7.26,0.82,-1.41,0.02,115,64,23,19
NIFTY,50,180,2.79,5.87,10.76,-18.08,4.24,-7.76,2.4,3,12,-7.76,8.0,0.82,-1.47,0.02,116,63,24,18
NIFTY,50,190,2.4,4.89,11.3,-17.3,3.52,-7.76,2.4,3,12,-7.76,8.0,0.83,-1.5,0.01,116,63,22,20
NIFTY,50,200,3.7,5.72,11.15,-16.46,3.29,-7.76,2.4,3,12,-7.76,8.0,0.83,-1.48,0.02,116,63,22,20
NIFTY,50,50,-12.44,0.68,4.97,-15.73,-2.36,-7.28,2.83,4,8,-7.28,7.39,0.82,-1.45,-0.07,109,70,17,25
NIFTY,50,60,-6.5,1.79,6.5,-15.59,0.79,-7.52,2.83,3,8,-7.52,7.32,0.78,-1.49,-0.04,115,64,20,22
NIFTY,50,70,-6.32,2.4,6.2,-19.37,4.44,-7.63,2.83,3,8,-7.63,7.38,0.8,-1.4,-0.04,111,68,21,21
NIFTY,50,80,-12.02,-0.62,6.62,-23.58,5.57,-8.21,2.83,4,8,-8.21,7.52,0.76,-1.46,-0.07,112,67,21,21
NIFTY,50,90,-12.52,1.83,4.34,-25.02,6.33,-8.21,2.4,4,8,-8.21,7.39,0.78,-1.39,-0.07,109,70,19,23
NIFTY,60,100,-4.56,6.33,6.79,-22.74,5.05,-8.5,2.21,6,8,-8.63,6.8,0.83,-1.13,-0.03,101,78,22,20
NIFTY,60,110,-4.48,8.37,6.35,-23.17,3.97,-8.67,2.21,6,9,-8.8,7.3,0.86,-1.08,-0.03,97,82,24,18
NIFTY,60,120,-1.75,11.5,4.68,-20.33,2.4,-8.92,2.21,6,11,-9.05,9.2,0.83,-1.18,-0.01,104,75,25,17
NIFTY,60,130,0.61,12.61,5.15,-18.07,0.92,-9.07,2.32,6,11,-9.39,9.56,0.84,-1.21,0.0,106,73,26,16
NIFTY,60,140,2.22,11.83,4.84,-17.73,3.28,-9.07,2.32,6,8,-9.2,7.07,0.85,-1.27,0.01,108,71,27,15
NIFTY,60,150,7.29,11.38,9.47,-17.73,4.17,-8.25,2.32,7,8,-8.38,7.19,0.86,-1.21,0.04,108,71,28,14
NIFTY,60,160,7.22,11.74,8.99,-17.78,4.28,-8.05,2.32,6,8,-8.84,7.19,0.86,-1.27,0.04,110,69,27,15
NIFTY,60,170,12.62,10.98,13.08,-16.1,4.66,-8.05,2.32,4,10,-8.18,7.19,0.87,-1.23,0.07,111,68,26,16
NIFTY,60,180,11.5,10.19,13.36,-16.4,4.35,-8.05,2.32,4,10,-8.18,7.19,0.87,-1.29,0.06,112,67,28,14
NIFTY,60,190,11.12,9.21,13.9,-15.61,3.62,-8.05,2.32,4,10,-8.18,7.19,0.88,-1.31,0.06,112,67,27,15
NIFTY,60,200,12.42,10.04,13.75,-14.77,3.4,-8.05,2.32,4,10,-8.18,7.19,0.88,-1.29,0.07,112,67,26,16
NIFTY,60,50,-3.73,5.0,7.57,-14.04,-2.25,-7.57,2.83,4,8,-7.7,6.82,0.86,-1.24,-0.02,104,75,24,18
NIFTY,60,60,2.21,6.11,9.1,-13.9,0.89,-7.81,2.83,3,8,-7.94,6.61,0.81,-1.26,0.01,110,69,26,16
NIFTY,60,70,2.39,6.72,8.81,-17.68,4.55,-7.92,2.83,4,8,-8.05,7.23,0.83,-1.2,0.01,107,72,26,16
NIFTY,60,80,-3.3,3.7,9.22,-21.9,5.67,-8.5,2.83,6,8,-8.63,7.35,0.8,-1.24,-0.02,107,72,26,16
NIFTY,60,90,-3.81,6.15,6.95,-23.34,6.43,-8.5,2.28,6,8,-8.63,7.22,0.82,-1.19,-0.02,104,75,23,19
NIFTY,70,100,4.07,15.34,5.42,-25.32,8.63,-8.92,2.26,7,6,-9.39,6.56,0.86,-1.09,0.02,102,77,24,18
NIFTY,70,110,4.14,17.38,4.98,-25.76,7.55,-9.09,2.26,10,7,-9.57,6.71,0.9,-1.03,0.02,98,81,25,17
NIFTY,70,120,6.87,20.51,3.31,-22.92,5.97,-9.34,2.26,9,6,-9.82,6.14,0.86,-1.13,0.04,105,74,26,16
NIFTY,70,130,9.24,21.62,3.78,-20.66,4.5,-9.49,2.32,7,9,-9.97,6.82,0.87,-1.17,0.05,107,72,27,15
NIFTY,70,140,10.85,20.84,3.47,-20.32,6.86,-9.49,2.32,6,9,-9.97,7.18,0.88,-1.22,0.06,109,70,27,15
NIFTY,70,150,15.92,20.39,8.1,-20.31,7.74,-8.67,2.32,6,9,-9.15,7.3,0.89,-1.16,0.09,109,70,27,15
NIFTY,70,160,15.85,20.74,7.62,-20.37,7.86,-8.48,2.32,6,9,-9.35,7.3,0.89,-1.22,0.09,111,68,26,16
NIFTY,70,170,21.24,19.98,11.71,-18.69,8.24,-8.48,2.32,5,10,-8.95,7.3,0.9,-1.18,0.12,112,67,26,16
NIFTY,70,180,20.13,19.2,11.99,-18.98,7.93,-8.48,2.32,5,10,-8.95,7.3,0.9,-1.24,0.11,113,66,26,16
NIFTY,70,190,19.74,18.21,12.53,-18.2,7.2,-8.48,2.32,5,10,-8.95,7.3,0.91,-1.26,0.11,113,66,25,17
NIFTY,70,200,21.04,19.05,12.38,-17.36,6.97,-8.48,2.32,5,10,-8.95,7.3,0.91,-1.24,0.12,113,66,25,17
NIFTY,70,50,4.9,14.0,6.2,-16.63,1.32,-8.0,2.83,4,10,-8.47,9.14,0.89,-1.17,0.03,104,75,23,19
NIFTY,70,60,10.84,15.12,7.73,-16.49,4.47,-8.24,2.83,4,10,-8.71,8.56,0.84,-1.21,0.06,111,68,27,15
NIFTY,70,70,11.02,15.73,7.44,-20.27,8.12,-8.34,2.83,4,9,-8.82,7.37,0.86,-1.16,0.06,108,71,27,15
NIFTY,70,80,5.32,12.71,7.85,-24.48,9.25,-8.92,2.83,4,10,-9.4,7.1,0.83,-1.19,0.03,108,71,26,16
NIFTY,70,90,4.82,15.16,5.57,-25.92,10.01,-8.92,2.28,4,10,-9.4,6.97,0.85,-1.14,0.03,105,74,25,17
NIFTY,80,100,10.01,13.73,3.77,-17.72,10.22,-5.33,2.26,7,6,-10.13,6.52,0.9,-0.96,0.06,98,81,24,18
